Time,Money,Currency
1/31/2014,1251,1
2/28/2014,1327,1
3/31/2014,1292,1
4/30/2014,1289,1
5/30/2014,1251,1
6/30/2014,1315,1
7/31/2014,1285,1
8/29/2014,1286,1
9/30/2014,1217,1
10/31/2014,1164,1
11/28/2014,1183,1
12/31/2014,1206,1
1/30/2015,1260,1
2/27/2015,1214,1
3/31/2015,1187,1
4/30/2015,1180,1
5/29/2015,1191,1
6/30/2015,1171,1
7/31/2015,1098,1
8/31/2015,1135,1
9/30/2015,1114,1
10/30/2015,1142,1
11/30/2015,1062,1
12/31/2015,1060,1
1/29/2016,1112,1
1/31/2014,928,2
2/28/2014,960,2
3/31/2014,937,2
4/30/2014,929,2
5/30/2014,916,2
6/30/2014,960,2
7/31/2014,961,2
8/29/2014,976,2
9/30/2014,963,2
10/31/2014,929,2
11/28/2014,949,2
12/31/2014,997,2
1/30/2015,1117,2
2/27/2015,1082,2
3/31/2015,1105,2
4/30/2015,1053,2
5/29/2015,1087,2
6/30/2015,1051,2
7/31/2015,994,2
8/31/2015,1013,2
9/30/2015,998,2
10/30/2015,1034,2
11/30/2015,1005,2
12/31/2015,976,2
1/29/2016,1027,2
1/31/2014,761,3
2/28/2014,792,3
3/31/2014,775,3
4/30/2014,763,3
5/30/2014,746,3
6/30/2014,769,3
7/31/2014,761,3
8/29/2014,774,3
9/30/2014,750,3
10/31/2014,728,3
11/28/2014,755,3
12/31/2014,773,3
1/30/2015,839,3
2/27/2015,786,3
3/31/2015,800,3
4/30/2015,768,3
5/29/2015,781,3
6/30/2015,745,3
7/31/2015,704,3
8/31/2015,738,3
9/30/2015,735,3
10/30/2015,740,3
11/30/2015,705,3
12/31/2015,719,3
1/29/2016,784,3
