Time,US dollar,Euro,Pound sterling,Japanese yen
12/31/1969,35.2,22.24,14.66,12592.43816
1/30/1970,34.99,23.2,14.54,12496.35219
2/27/1970,35.02,23.26,14.55,12529.95188
3/31/1970,35.3,23.42,14.67,12627.64624
4/30/1970,35.85,23.79,14.93,12858.35769
5/29/1970,35.45,23.54,14.8,12757.88483
6/30/1970,35.49,23.55,14.85,12764.71531
7/31/1970,35.3,23.45,14.81,12728.16415
8/31/1970,35.8,23.58,14.99,12799.91765
9/30/1970,36.4,23.98,15.23,13018.65517
10/30/1970,37.25,24.58,15.6,13341.25016
11/30/1970,37.54,24.71,15.69,13403.92856
12/31/1970,37.38,24.41,15.46,13239.03264
1/29/1971,38.05,25.09,15.75,13613.2104
2/26/1971,38.8,25.58,16.06,13867.10448
3/31/1971,38.88,25.61,16.08,13892.94658
4/30/1971,39.7,26.14,16.41,14188.37692
5/31/1971,40.84,26.9,16.89,14594.97987
6/30/1971,40.1,26.39,16.57,14328.74064
7/30/1971,42.4,27.92,17.53,15153.73633
8/31/1971,40.65,26.1,16.53,13538.97924
9/30/1971,42.6,27.39,17.15,14059.41333
10/29/1971,42.34,27.22,17,13957.50144
11/30/1971,43.6,27.93,17.48,14250.07783
12/31/1971,43.55,27.06,17.06,13691.4779
1/31/1972,47.15,28.99,18.18,14624.17151
2/29/1972,48.2,29.51,18.49,14619.79982
3/31/1972,48.38,29.36,18.5,14695.63663
4/28/1972,49.6,30.17,19,15092.19047
5/31/1972,59.45,36.01,22.75,18096.15119
6/30/1972,64.65,39.03,26.45,19085.51651
7/31/1972,68.3,41.31,27.88,20559.6918
8/31/1972,66.88,40.23,27.32,20090.92243
9/29/1972,64.2,38.78,26.53,19326.33602
10/31/1972,64.39,39.27,27.55,19410.67892
11/30/1972,63.6,38.71,27.04,19127.30893
12/29/1972,64.9,39.55,27.66,19568.19742
1/31/1973,66,40.81,27.73,19897.07381
2/28/1973,85,48.14,34.25,22585.6306
3/30/1973,90,51.83,36.3,23834.2248
4/30/1973,90.72,52.61,36.45,24145.46736
5/31/1973,114.75,65.04,44.73,30392.77922
6/29/1973,123.25,67.54,47.76,32263.27701
7/31/1973,115.6,63.58,46.23,30535.41385
8/31/1973,103.5,57.35,42.09,27419.58873
9/28/1973,100,54.93,41.43,26534.94252
10/31/1973,98,54.3,40.18,26098.24108
11/30/1973,101,58.89,43.07,28232.64235
12/31/1973,112.25,65.95,48.32,31384.57875
1/31/1974,132.5,82.65,58.06,39453.8853
2/28/1974,162.5,100.08,70.54,46802.4562
3/29/1974,173,100.68,72.23,47602.09754
4/30/1974,169.25,97.53,69.56,47234.18347
5/31/1974,156.75,92.29,65.41,44183.03408
6/28/1974,144.25,85.08,60.44,41041.61473
7/31/1974,156,91.61,65.55,46668.94272
8/30/1974,156,93.61,67.31,47254.40549
9/30/1974,151.25,90.4,64.84,45131.84239
10/31/1974,167,99.31,71.54,50150.83476
11/29/1974,184,107.71,79.11,55215.86136
12/31/1974,186.5,106.18,79.36,56029.39808
1/31/1975,175.8,98.8,73.88,52492.52827
2/28/1975,181.75,99.58,74.81,52067.51161
3/31/1975,177.25,98.85,73.84,51834.86084
4/30/1975,167,92.69,70.91,48788.11989
5/30/1975,167,91.82,72.26,48777.5882
6/30/1975,166.25,92.63,76.49,49565.2595
7/31/1975,166.7,98.41,77.62,49794.25142
8/29/1975,159.8,94.56,75.72,47625.80771
9/30/1975,141.25,85.78,69.15,42800.93605
10/31/1975,142.9,84.59,68.78,43162.36519
11/28/1975,138.15,83.49,68.48,41975.68747
12/31/1975,140.25,84.68,69.32,42788.35143
1/30/1976,128.15,80.12,63.13,38950.0462
2/27/1976,132.3,84.37,65.32,40006.81655
3/31/1976,129.6,85.94,67.61,38873.2404
4/30/1976,128.4,87.07,69.76,38474.65435
5/31/1976,125.5,84.52,71.37,37717.83804
6/30/1976,123.8,83.13,69.36,36897.27413
7/30/1976,112.5,75.95,63.01,33015.96982
8/31/1976,104,70.12,58.51,30015.2195
9/30/1976,116,78.1,69.84,33347.41433
10/29/1976,123.15,83.06,77.65,36300.5519
11/30/1976,130.25,87.92,78.82,38700.64624
12/31/1976,134.5,90.21,79.04,39440.30494
1/31/1977,132.3,89.95,77.14,38185.74983
2/28/1977,142.75,97.08,83.29,40377.0114
3/31/1977,148.9,102.08,86.57,41380.3866
4/29/1977,147.25,100.64,85.64,40936.1181
5/31/1977,142.95,97.73,83.16,39666.75625
6/30/1977,143,97.61,83.14,38285.79233
7/29/1977,144.1,100.32,82.96,38493.04234
8/31/1977,146,102.04,83.77,39036.11299
9/30/1977,154.05,107.8,88.15,40680.98282
10/31/1977,161.5,111.51,87.75,40276.30716
11/30/1977,160.05,110.18,88.08,39109.66096
12/30/1977,164.95,110.08,86.05,39538.09642
1/31/1978,175.75,117.4,90.13,42495.47366
2/28/1978,182.25,119.82,93.87,43462.14916
3/31/1978,181.6,118.79,97.32,40096.06949
4/28/1978,170.85,113.18,93.39,38241.67073
5/31/1978,184.15,122.76,100.46,40838.53952
6/30/1978,183.05,120.43,98.41,37298.90225
7/31/1978,200.25,129.16,103.68,37789.8942
8/31/1978,208.7,132.48,107.38,39731.93525
9/29/1978,217.1,135.68,109.84,41080.4021
10/31/1978,242.6,141.49,116.92,43492.64885
11/30/1978,193.4,122.4,99.46,38590.52323
12/29/1978,226,137.06,110.7,43893.74465
1/31/1979,233.7,144.84,117.44,47327.21344
2/28/1979,251.3,154.64,124.19,50918.24541
3/30/1979,240.1,148.04,116.22,50379.20759
4/30/1979,245.3,152.76,118.82,54567.22078
5/31/1979,274.6,172,132.69,60506.23361
6/29/1979,277.5,169.03,127.29,60400.84714
7/31/1979,296.45,179.68,131.87,64222.08159
8/31/1979,315.1,190.38,139.89,69384.93073
9/28/1979,397.25,233.23,180.36,89144.58657
10/31/1979,382,231.45,184.01,90807.87755
11/30/1979,415.65,244.87,188.97,103747.2087
12/31/1979,512,299.12,230.63,122753.2439
1/31/1980,653,385.01,288.11,156299.3934
2/29/1980,637,381.48,280.25,160301.0078
3/31/1980,494.5,321.56,228.51,123625.0253
4/30/1980,518,317.27,229.36,123852.2134
5/30/1980,535.5,323.09,228.36,119317.2476
6/30/1980,653.5,392.72,277.32,143581.4437
7/31/1980,614.25,372.37,262.16,139733.4439
8/29/1980,631.25,386.52,263.41,138287.6281
9/30/1980,666.75,412.83,279.27,140611.0098
10/31/1980,629,404.91,258.16,132821.8977
11/28/1980,619.75,406.73,262.83,134174.0465
12/31/1980,589.75,392.41,246.65,119873.9125
1/30/1981,506.5,363.31,213.98,104745.2003
2/27/1981,489,357.95,221.77,102568.0751
3/31/1981,513.75,375.1,228.89,108495.295
4/30/1981,482.75,369.74,225.53,104139.2217
5/29/1981,479.25,386.14,231.52,107310.3419
6/30/1981,426,353.4,220.67,96652.77462
7/31/1981,406,346.87,220.47,97559.14121
8/31/1981,425,362.53,229.85,97458.08666
9/30/1981,428.75,349.87,237.53,99645.86407
10/30/1981,427,347.03,229.57,99518.61778
11/30/1981,414.5,332.94,212.02,88783.57124
12/31/1981,397.5,327.48,208.22,87350.1215
1/29/1982,387,327.92,205.74,88366.04914
2/26/1982,362.6,308.91,199.07,85797.72271
3/31/1982,320,285.71,179.57,79371.51106
4/30/1982,361.25,318.81,201.37,85177.73644
5/31/1982,325.25,284.76,181.65,79200.79574
6/30/1982,317.5,301.04,182.1,80809.08789
7/30/1982,342.9,315.16,197.3,88289.82377
8/31/1982,411.5,388.34,239.66,107608.4475
9/30/1982,397,383.37,234.29,106483.7453
10/29/1982,423.25,416.77,252.39,117233.061
11/30/1982,436,423.24,268.56,109033.5782
12/31/1982,456.9,429.9,282.47,107339.8052
1/31/1983,499.5,486.07,328.62,119945.7628
2/28/1983,408.5,394.41,269.64,97069.40714
3/31/1983,414.75,410.93,279.58,99109.4856
4/29/1983,429.25,430.88,275.07,102120.6296
5/31/1983,437.5,447.29,272.67,104637.36
6/30/1983,416,431.65,271.9,99037.92578
7/29/1983,422,456.53,277.5,102048.7851
8/31/1983,414.25,452.93,277.28,102037.5838
9/30/1983,405,440.9,270.54,95501.07939
10/31/1983,382,416.46,255.43,89401.56121
11/30/1983,405,451.49,276.26,94067.21509
12/30/1983,382.4,432,263.45,88651.44509
1/31/1984,373.75,436.19,266.68,87803.93122
2/29/1984,394.25,428.55,264.51,92049.06685
3/30/1984,388.5,421.4,269.32,87261.11366
4/30/1984,375.8,425.18,268.72,85317.52804
5/31/1984,384.25,437.24,277.34,89025.08414
6/29/1984,373.05,431.92,275.01,88552.94225
7/31/1984,342.35,412.65,261.84,83983.72859
8/31/1984,348.25,419.37,266.14,84168.28325
9/28/1984,343.75,436.4,278.34,84476.23806
10/31/1984,333.5,421.37,273.14,81941.05089
11/30/1984,329,423.66,274.62,81426.12999
12/31/1984,308.3,402.45,266.01,77540.561
1/31/1985,306.65,402.82,271.13,78085.9468
2/28/1985,287.75,400.46,266.44,74735.07472
3/29/1985,329.25,425.73,266.06,82478.90229
4/30/1985,321.35,417.93,258.63,80887.15999
5/31/1985,314,403.43,244.07,78835.60187
6/28/1985,317.75,404.96,242.56,78952.47516
7/31/1985,327.5,393.64,232.52,77544.38899
8/30/1985,333.25,399.98,239.23,79544.61803
9/30/1985,325.75,375.93,231.19,70455.93963
10/31/1985,325.1,366.57,225.61,68753.76919
11/29/1985,325.3,353.9,218.54,65726.52995
12/31/1985,326.8,347.51,226.08,65450.4627
1/31/1986,350.5,364.1,248.05,67594.74289
2/28/1986,338.15,328.64,233.69,60993.19417
3/31/1986,344,348.01,231.81,61718.3996
4/30/1986,345.75,329.63,222.92,57680.74351
5/30/1986,343.2,350.96,233.07,59899.75999
6/30/1986,346.75,336.16,226.26,56735.82745
7/31/1986,357.5,332.15,239.53,54972.42082
8/29/1986,384.7,349.46,258.45,59443.07026
9/30/1986,423.2,383.64,292.47,65322.5533
10/31/1986,401,369.82,285.31,65478.19133
11/28/1986,389.5,345.5,271.71,63105.32059
12/31/1986,388.75,337.8,262.23,61492.06583
1/30/1987,400.5,334.76,264.62,61523.85478
2/27/1987,405.85,338.02,262.52,62150.70001
3/31/1987,421,346.74,262.31,61445.0331
4/30/1987,453.25,371.84,272.96,63736.16515
5/29/1987,451,375.9,276.69,64952.37206
6/30/1987,447.3,373.31,277.22,65632.63235
7/31/1987,462.5,391.91,290.52,69287.92816
8/31/1987,453.4,374.28,277.56,64394.79264
9/30/1987,459.5,384.69,282.68,67278.38725
10/30/1987,468.8,372.16,272.24,64725.47568
11/30/1987,492.5,371.97,269.72,65203.71601
12/31/1987,484.1,351.76,257.71,58756.86319
