Date,Open,High,Low,Close,Volume,Adj Close
4/1/2016,385,390,378,383,300,383
3/31/2016,380,385,370,377,600,377
3/30/2016,376.7,389,375,380.7,100,380.7
3/29/2016,385,385,370.1,373.7,3800,373.7
3/28/2016,395,395,385.1,386.4,2000,386.4
3/25/2016,390.6,390.6,390.6,390.6,0,390.6
3/24/2016,390.6,390.6,390.6,390.6,0,390.6
3/23/2016,393,393,386.5,390.6,200,390.6
3/22/2016,391,399,390.1,396.6,900,396.6
3/21/2016,391,403.9,390,396.2,4200,393.2
3/18/2016,402.6,402.7,390.1,391.3,0,388.337
3/17/2016,390,402,388,390.6,800,387.642
3/16/2016,401,402,382.2,385.6,700,382.68
3/15/2016,410,412,396.5,397,300,393.994
3/14/2016,407.6,415,395.3,400.4,1100,397.368
3/11/2016,406,414,400,410.3,1700,407.193
3/10/2016,404.1,414.9,401,401.6,1600,398.559
3/9/2016,435,435,400,402.1,3300,399.055
3/8/2016,402,415,395.7,406.1,3400,403.025
3/7/2016,398.9,398.9,398.9,398.9,0,395.88
3/4/2016,384,402.9,380,398.9,2400,395.88
3/3/2016,384,385,376,380.5,900,377.619
3/2/2016,390,394.8,375.3,379.7,700,376.825
3/1/2016,385,389.9,379,387.5,200,384.566
2/29/2016,376,391.7,350.1,375.7,1800,372.855
2/26/2016,375.1,384.9,375.1,379.4,600,376.527
2/25/2016,388,390,375.1,377.6,400,374.741
2/24/2016,386,390,377,384.2,1000,381.291
2/23/2016,395,399,390,395.8,1000,392.803
2/22/2016,388,413,385,392.9,1900,389.925
2/19/2016,378,393.9,378,390,200,387.047
2/18/2016,381,394.4,380,381.8,400,378.909
2/17/2016,383.4,395,381,384.5,300,381.589
2/16/2016,397.3,403,385,396.5,300,393.498
2/15/2016,392.6,406,391,400,1000,396.971
2/12/2016,388,389.9,360,369.7,3500,366.901
2/11/2016,416.8,416.8,390,398.2,1000,395.185
2/10/2016,410,419,400,413.6,1200,410.468
2/9/2016,415,419.9,410,413.4,300,410.27
2/8/2016,420,430,414,419.9,500,416.721
2/5/2016,430,436,405.1,410,3500,406.896
2/4/2016,430.4,430.4,406.5,417.5,300,414.339
2/3/2016,427,439.9,418.5,425.4,1200,422.179
2/2/2016,468.7,468.8,427,441.7,2400,438.355
2/1/2016,450.2,477.9,450.2,464,12800,460.487
1/29/2016,408.7,454.7,406.1,443.8,2200,440.44
1/28/2016,422.5,422.5,406.8,414.7,300,411.56
1/27/2016,393,425,393,402.1,3200,399.055
1/26/2016,392.1,392.1,392.1,392.1,0,389.131
1/25/2016,391.2,396.6,387,392.1,1100,389.131
1/22/2016,385,393,382,390.4,3200,387.444
1/21/2016,385.2,405,375.5,377.2,1300,374.344
1/20/2016,395,400,386,387.8,900,384.864
1/19/2016,395,410,395,400.1,400,397.07
1/18/2016,411,411,395,402.4,1100,399.353
1/15/2016,419.4,424.4,405,411.1,1700,407.987
1/14/2016,423,423.5,405,419.4,400,416.224
1/13/2016,450,458.8,420,433.5,2200,430.218
1/12/2016,462,465,445,446.4,600,443.02
1/11/2016,434.3,465,434.3,460.5,600,457.013
1/8/2016,455.5,474,455.5,463.2,200,459.693
1/7/2016,469.5,469.9,444,455.5,2200,452.051
1/6/2016,468,478.9,465.1,467.2,1200,463.662
1/5/2016,468,479,466.3,467.3,400,463.762
1/4/2016,478,482.5,460,470.9,1200,467.334
1/1/2016,471,483.9,470,480,2900,476.365
12/31/2015,488.8,488.8,471.5,473.2,700,469.617
12/30/2015,452.5,485,452.5,476,3300,472.396
12/29/2015,492,492,464,470.4,2200,466.838
12/28/2015,484,517.9,478,491.2,15600,487.481
12/25/2015,479.7,479.7,479.7,479.7,0,476.068
12/24/2015,435.1,494,435.1,479.7,36200,476.068
12/23/2015,415,425,412.3,415,1100,411.858
12/22/2015,397,417,397,407,3600,403.918
12/21/2015,394.9,400,387.1,397.9,0,394.887
12/18/2015,375.7,394.5,375.7,383.7,1900,380.795
12/17/2015,382,385,376.8,383.4,200,380.497
12/16/2015,392,393,381.5,385.7,3900,382.78
12/15/2015,380,395,380,389.4,400,386.451
12/14/2015,380.6,380.6,370.3,373.8,700,370.97
12/11/2015,390,390,379,380.4,900,377.52
12/10/2015,380,390,380,387.5,200,384.566
12/9/2015,386,386,371,375,2600,372.161
12/8/2015,385,395,385,387,2200,384.07
12/7/2015,392.5,392.5,384,385.1,400,382.184
12/4/2015,404,407.9,390.4,397,500,393.994
12/3/2015,403,405,401.1,401.1,400,398.063
12/2/2015,412.9,412.9,395.1,399.1,900,396.078
12/1/2015,425,425,400,407.8,1500,404.712
11/30/2015,406.1,422,406.1,418.7,1500,415.53
11/27/2015,399,420,399,404.6,1900,401.536
11/26/2015,390,396,390,393.2,500,390.223
11/25/2015,385.8,385.8,385.8,385.8,0,382.879
11/24/2015,380,389,379,385.8,1500,382.879
11/23/2015,388.6,388.6,376.4,377.5,300,374.642
11/20/2015,380,389.9,376.3,383.8,600,380.894
11/19/2015,376.1,387,376,382.3,300,379.405
11/18/2015,380,382,376.9,376.9,200,374.046
11/17/2015,379.5,382.7,373.2,375.1,300,372.26
11/16/2015,380,395,370,382.1,900,379.207
11/13/2015,375,384,372.5,373.9,400,371.069
11/12/2015,366.8,366.8,366.8,366.8,0,364.023
